game_length,mmr,result,server,team_1,team_2,timestamp
33m 14s,,Victory,na,"Urgot,Rengar,Neeko,Jhin,Karma","Renekton,Lee Sin,Ahri,Veigar,Janna",2020-10-13 09:35:31
28m 57s,,Defeat,na,"Camille,Hecarim,Orianna,Senna,Gragas","Jax,Lee Sin,LeBlanc,Ezreal,Taric",2020-10-16 13:22:54
28m 57s,,Defeat,na,"Malphite,Hecarim,Annie,Caitlyn,Karma","Lucian,Nidalee,Mordekaiser,Aphelios,Rakan",2020-10-16 12:30:31
28m 57s,,Victory,na,"Sett,Graves,Twisted Fate,Aphelios,Rakan","Akali,Lillia,Gangplank,Ashe,Karma",2020-10-16 12:00:56
35m 5s,,Defeat,na,"Jax,Karthus,Sett,Samira,Thresh","Singed,Hecarim,LeBlanc,Senna,Rakan",2020-10-15 09:55:26
28m 57s,,Victory,na,"Shen,Lee Sin,Kassadin,Samira,Pantheon","Gangplank,Nidalee,Yasuo,Miss Fortune,Braum",2020-10-16 08:52:22
35m 5s,,Victory,na,"Camille,Graves,Yasuo,Taliyah,Thresh","Jax,Hecarim,Ahri,Jhin,Pantheon",2020-10-15 09:00:42
28m 57s,,Victory,na,"Malphite,Graves,Akali,Senna,Alistar","Jax,Ivern,Sylas,Samira,Pantheon",2020-10-16 08:06:54
28m 57s,,Defeat,na,"Camille,Kha'Zix,Orianna,Ashe,Janna","Shen,Lee Sin,Sylas,Jhin,Rakan",2020-10-16 04:56:43
32m 3s,,Defeat,na,"Malphite,Fiddlesticks,Talon,Ashe,Pantheon","Tryndamere,Elise,Akali,Draven,Leona",2020-10-16 11:49:52
35m 5s,,Defeat,na,"Malphite,Kindred,Cassiopeia,Talon,Leona","Sion,Hecarim,Syndra,Senna,Pantheon",2020-10-15 08:32:25
35m 5s,,Defeat,na,"Maokai,Kindred,Fizz,Kalista,Nautilus","Cho'Gath,Lillia,Rumble,Jhin,Pantheon",2020-10-15 08:07:35
28m 57s,,Defeat,na,"Renekton,Lee Sin,Twisted Fate,Jhin,Sett","Lucian,Nidalee,Gangplank,Ziggs,Trundle",2020-10-15 19:16:31
32m 3s,,Defeat,na,"Sylas,Graves,Akali,Vayne,Leona","Cho'Gath,Lillia,Lucian,Kai'Sa,Nautilus",2020-10-16 05:42:12
32m 3s,,Defeat,na,"Rengar,Kindred,Samira,Aurelion Sol,Leona","Shen,Nidalee,Sylas,Senna,Neeko",2020-10-15 14:18:38
30m 49s,,Defeat,eune,"Gragas,Fiddlesticks,Zed,Ezreal,Leona","Nautilus,Kha'Zix,Riven,Tristana,Thresh",2020-10-11 04:50:52
35m 5s,,Defeat,na,"Fiora,Karthus,Orianna,Ezreal,Leona","Camille,Hecarim,Galio,Jhin,Karma",2020-10-14 06:43:39
28m 57s,,Victory,na,"Yasuo,Nidalee,Yone,Veigar,Sona","Poppy,Kha'Zix,Aurelion Sol,Jinx,Thresh",2020-10-15 18:26:12
28m 57s,,Defeat,na,"Shen,Karthus,Lucian,Senna,Blitzcrank","Darius,Lillia,Annie,Ezreal,Bard",2020-10-15 17:33:03
27m 21s,,Defeat,na,"Tryndamere,Kindred,Vladimir,Jhin,Karma","Jax,Gragas,Akali,Ashe,Pantheon",2020-10-16 13:18:07
32m 3s,,Defeat,na,"Ornn,Kindred,Sylas,Wukong,Nautilus","Camille,Nidalee,Syndra,Ashe,Pantheon",2020-10-14 05:05:32
32m 3s,,Defeat,na,"Ornn,Graves,Rumble,Senna,Nautilus","Irelia,Nidalee,Akali,Jhin,Morgana",2020-10-13 13:53:19
30m 49s,,Defeat,eune,"Vladimir,Hecarim,Zed,Ezreal,Blitzcrank","Riven,Lee Sin,Orianna,Tristana,Morgana",2020-10-11 04:03:58
30m 49s,,Defeat,eune,"Camille,Nidalee,Yone,Kog'Maw,Lulu","Ornn,Hecarim,Orianna,Draven,Nami",2020-10-11 03:22:52
27m 21s,,Defeat,na,"Malphite,Gragas,Lucian,Ezreal,Maokai","Annie,Kindred,Kennen,Draven,Pantheon",2020-10-15 13:52:58
32m 3s,,Defeat,na,"Shen,Nidalee,Lucian,Caitlyn,Morgana","Fiora,Lillia,Cassiopeia,Senna,Sona",2020-10-11 05:42:37
32m 3s,,Defeat,na,"Yasuo,Kindred,Kassadin,Miss Fortune,Nautilus","Samira,Lillia,LeBlanc,Ashe,Leona",2020-10-11 02:34:19
29m 57s,,Defeat,na,"Shen,Lee Sin,Kassadin,Samira,Pantheon","Gangplank,Nidalee,Yasuo,Miss Fortune,Braum",2020-10-16 08:52:22
30m 49s,,Defeat,eune,"Camille,Lee Sin,Lissandra,Jhin,Bard","Wukong,Karthus,Ryze,Samira,Pantheon",2020-10-11 02:55:18
26m 16s,,Victory,euw,"Graves,Nidalee,Gragas,Kai'Sa,Blitzcrank","Urgot,Kindred,Syndra,Draven,Janna",2020-10-16 06:16:36
27m 21s,,Defeat,na,"Sett,Lillia,Ziggs,Senna,Leona","Camille,Graves,Sylas,Lucian,Braum",2020-10-11 09:34:39
27m 21s,,Defeat,na,"Akali,Olaf,Malphite,Jhin,Thresh","Wukong,Nidalee,Twisted Fate,Jinx,Tahm Kench",2020-10-11 08:49:50
32m 3s,,Defeat,na,"Jax,Kindred,Galio,Senna,Bard","Pantheon,Nidalee,Syndra,Jhin,Jayce",2020-10-10 03:47:15
29m 57s,,Defeat,na,"Ezreal,Lillia,Cassiopeia,Lucian,Leona","Sylas,Aphelios,Yone,Ekko,Braum",2020-10-16 07:29:00
29m 57s,,Defeat,na,"Camille,Kindred,LeBlanc,Ashe,Leona","Ornn,Rengar,Orianna,Senna,Pantheon",2020-10-16 05:15:57
30m 49s,,Defeat,eune,"Gnar,Kha'Zix,Lux,Ezreal,Nautilus","Wukong,Gragas,Yasuo,Vayne,Lulu",2020-10-11 02:11:56
30m 49s,,Defeat,eune,"Camille,Lee Sin,Veigar,Jhin,Pantheon","Akali,Master Yi,Fizz,Ezreal,Lulu",2020-10-11 01:34:54
26m 16s,,Victory,euw,"Renekton,Nidalee,Twisted Fate,Kai'Sa,Pyke","Akali,Graves,Zoe,Kalista,Rakan",2020-10-16 05:42:26
26m 16s,,Victory,euw,"Sett,Volibear,Katarina,Samira,Nautilus","Yasuo,Lillia,Kayle,Ezreal,Janna",2020-10-16 04:52:02
27m 21s,,Defeat,na,"Akali,Graves,Ekko,Ashe,Pantheon","Renekton,Nidalee,Kassadin,Ezreal,Janna",2020-10-11 08:17:57
27m 21s,,Defeat,na,"Syndra,Graves,Cassiopeia,Jhin,Janna","Yasuo,Kindred,Lulu,Ornn,Rakan",2020-10-11 07:21:33
32m 3s,,Defeat,na,"Fiora,Lillia,Lucian,Ashe,Nautilus","Gangplank,Kindred,Rumble,Jhin,Karma",2020-10-09 13:24:50
32m 3s,,Defeat,na,"Lucian,Lillia,Wukong,Jhin,Bard","Neeko,Fiddlesticks,Zed,Ashe,Lulu",2020-10-08 02:46:37
29m 57s,,Defeat,na,"Irelia,Lillia,Sylas,Jinx,Lulu","Annie,Hecarim,Yone,Senna,Leona",2020-10-16 04:18:54
29m 57s,,Defeat,na,"Camille,Fiddlesticks,Qiyana,Senna,Alistar","Ornn,Graves,Zoe,Aphelios,Pyke",2020-10-15 15:25:03
30m 49s,,Defeat,eune,"Swain,Kha'Zix,Lissandra,Jhin,Leona","Maokai,Lillia,Lucian,Kalista,Thresh",2020-10-11 01:10:20
30m 49s,,Defeat,eune,"Darius,Shaco,Vladimir,Kalista,Thresh","Jayce,Evelynn,Orianna,Tristana,Yuumi",2020-10-11 00:07:37
26m 16s,,Defeat,euw,"Shen,Hecarim,Akali,Twitch,Rakan","Zilean,Nidalee,LeBlanc,Kai'Sa,Pyke",2020-10-13 04:28:40
26m 16s,,Victory,euw,"Camille,Hecarim,Twisted Fate,Samira,Taric","Poppy,Graves,Orianna,Ezreal,Pantheon",2020-10-13 03:52:00
27m 21s,,Defeat,na,"Neeko,Graves,Katarina,Jinx,Leona","Shen,Kindred,Orianna,Draven,Thresh",2020-10-07 12:21:20
27m 21s,,Defeat,na,"Malphite,Graves,Syndra,Ashe,Bard","Yasuo,Lillia,Sylas,Twitch,Sett",2020-10-07 11:50:51
29m 57s,,Defeat,na,"Tryndamere,Lillia,Qiyana,Ziggs,Sett","Fiora,Kindred,Orianna,Ezreal,Pantheon",2020-10-15 14:26:28
29m 57s,,Defeat,na,"Sion,Nidalee,Renekton,Miss Fortune,Zilean","Akali,Vi,Fizz,Aphelios,Janna",2020-10-15 07:59:17
26m 16s,,Defeat,euw,"Lucian,Karthus,Sion,Ezreal,Yuumi","Ornn,Hecarim,Viktor,Kalista,Thresh",2020-10-07 00:57:41
27m 21s,,Defeat,na,"Lucian,Lillia,Katarina,Samira,Pantheon","Irelia,Kindred,Orianna,Draven,Lulu",2020-10-07 08:48:22
29m 57s,,Defeat,na,"Corki,Evelynn,Qiyana,Jhin,Thresh","Akali,Lee Sin,Neeko,Senna,Nautilus",2020-10-15 06:56:34
29m 57s,,Defeat,na,"Camille,Karthus,Sett,Draven,Lulu","Renekton,Shen,Cassiopeia,Ezreal,Braum",2020-10-15 04:22:23
26m 16s,,Defeat,euw,"Volibear,Kha'Zix,LeBlanc,Samira,Nautilus","Jax,Graves,Ahri,Senna,Thresh",2020-10-07 00:18:41
26m 16s,,Victory,euw,"Ornn,Nidalee,Ryze,Twitch,Tahm Kench","Sylas,Lillia,Yone,Samira,Nautilus",2020-10-06 23:36:12
26m 16s,,Victory,euw,"Malphite,Lee Sin,Ekko,Jhin,Pantheon","Lulu,Kindred,Sylas,Ezreal,Bard",2020-10-06 23:00:48
26m 16s,,Defeat,euw,"Akali,Kayn,Vel'Koz,Ezreal,Janna","Renekton,Graves,Sylas,Caitlyn,Thresh",2020-10-06 04:40:50
28m 59s,,Defeat,na,"Quinn,Graves,Zoe,Ashe,Karma","Renekton,Lillia,Pyke,Senna,Leona",2020-10-15 13:23:51
28m 59s,,Defeat,na,"Camille,Lillia,Ziggs,Lucian,Tahm Kench","Poppy,Gragas,Pyke,Miss Fortune,Nautilus",2020-10-15 12:05:44
28m 59s,,Defeat,na,"Akali,Kayn,Yasuo,Jhin,Janna","Riven,Gragas,Galio,Pyke,Sett",2020-10-15 11:08:48
29m 57s,,Victory,na,"Shen,Lee Sin,Kassadin,Samira,Pantheon","Gangplank,Nidalee,Yasuo,Miss Fortune,Braum",2020-10-16 08:52:22
16m 13s,,Defeat,na,"Corki,Evelynn,Qiyana,Jhin,Thresh","Akali,Lee Sin,Neeko,Senna,Nautilus",2020-10-15 06:56:34
27m 29s,,Defeat,na,"Zilean,Master Yi,Lux,Senna,Taric","Maokai,Nidalee,Zoe,Jhin,Nautilus",2020-10-16 08:15:58
28m 59s,,Victory,na,"Darius,Gragas,Neeko,Pyke,Sett","Fiora,Graves,Syndra,Senna,Tahm Kench",2020-10-15 10:24:14
28m 59s,,Defeat,na,"Lucian,Ekko,Talon,Karthus,Pantheon","Fiora,Gragas,Pyke,Ezreal,Nautilus",2020-10-14 17:46:45
29m 57s,,Victory,na,"Malphite,Graves,Akali,Senna,Alistar","Jax,Ivern,Sylas,Samira,Pantheon",2020-10-16 08:06:54
29m 57s,,Defeat,na,"Ezreal,Lillia,Cassiopeia,Lucian,Leona","Sylas,Aphelios,Yone,Ekko,Braum",2020-10-16 07:29:00
16m 13s,,Defeat,na,"Urgot,Gragas,Pyke,Jhin,Thresh","Ornn,Nidalee,Nocturne,Ezreal,Janna",2020-10-14 12:18:37
16m 13s,,Defeat,na,"Renekton,Ekko,Yasuo,Ashe,Gragas","Ornn,Lee Sin,Akali,Senna,Sett",2020-10-14 10:50:38
27m 29s,,Defeat,na,"Teemo,Ekko,Qiyana,Senna,Tahm Kench","Ryze,Graves,Twisted Fate,Jhin,Leona",2020-10-16 07:16:39
27m 29s,,Defeat,na,"Shen,Shaco,Ahri,Jinx,Thresh","Gangplank,Kha'Zix,Lucian,Ziggs,Neeko",2020-10-16 06:31:13
28m 59s,,Defeat,na,"Ekko,Kha'Zix,Katarina,Samira,Nautilus","Teemo,Lee Sin,Pyke,Ziggs,Blitzcrank",2020-10-14 16:50:24
28m 59s,,Victory,na,"Camille,Gragas,Sylas,Pyke,Maokai","Volibear,Nidalee,Qiyana,Kai'Sa,Sett",2020-10-14 14:59:10
29m 57s,,Defeat,na,"Lucian,Sejuani,Sylas,Ziggs,Pantheon","Akali,Lee Sin,Syndra,Ezreal,Sett",2020-10-16 07:04:33
29m 57s,,Defeat,na,"Neeko,Gragas,Talon,Samira,Nautilus","Akali,Graves,Kled,Senna,Leona",2020-10-16 05:50:20
23m 42s,,Defeat,na,"Ornn,Taliyah,Lucian,Samira,Pantheon","Sion,Kindred,Annie,Ezreal,Leona",2020-10-16 10:28:53
32m 3s,,Defeat,na,"Malphite,Fiddlesticks,Talon,Ashe,Pantheon","Tryndamere,Elise,Akali,Draven,Leona",2020-10-16 11:49:52
16m 13s,,Defeat,na,"Draven,Kayn,Ekko,Akali,Pantheon","Syndra,Lee Sin,Kennen,Ashe,Karma",2020-10-14 08:04:33
27m 29s,,Defeat,na,"Camille,Kindred,LeBlanc,Ashe,Leona","Ornn,Rengar,Orianna,Senna,Pantheon",2020-10-16 05:15:57
27m 29s,,Defeat,na,"Shen,Rengar,Syndra,Jhin,Zyra","Camille,Kha'Zix,Galio,Ashe,Lulu",2020-10-15 05:35:36
28m 59s,,Defeat,na,"Gangplank,Graves,Ekko,Ashe,Rakan","Pyke,Gragas,Sylas,Swain,Pantheon",2020-10-14 13:48:10
28m 59s,,Victory,na,"Mordekaiser,Gragas,Pyke,Jhin,Leona","Orianna,Sett,Ornn,Senna,Tahm Kench",2020-10-14 12:52:39
29m 57s,,Victory,na,"Volibear,Lillia,Syndra,Ashe,Janna","Irelia,Kayn,Sylas,Caitlyn,Zilean",2020-10-15 13:58:27
23m 42s,,Defeat,na,"Kennen,Xin Zhao,Lucian,Caitlyn,Morgana","Renekton,Evelynn,Syndra,Ezreal,Janna",2020-10-13 15:38:13
23m 42s,,Defeat,na,"Camille,Nunu & Willump,Kassadin,Ashe,Tahm Kench","Fiora,Lillia,Ekko,Jhin,Leona",2020-10-13 14:40:45
32m 3s,,Defeat,na,"Vladimir,Nunu & Willump,Talon,Ezreal,Bard","Malphite,Kindred,Orianna,Ashe,Nautilus",2020-10-16 11:07:25
32m 3s,,Defeat,na,"Lulu,Elise,Talon,Draven,Sett","Vladimir,Master Yi,Taric,Ashe,Thresh",2020-10-16 10:15:36
16m 13s,,Defeat,na,"Maokai,Nidalee,Lucian,Samira,Leona","Malphite,Lee Sin,Orianna,Taliyah,Rakan",2020-10-14 07:52:19
16m 13s,,Defeat,na,"Kennen,Graves,Qiyana,Taliyah,Nautilus","Darius,Nidalee,Ekko,Ashe,Tahm Kench",2020-10-14 06:08:57
27m 29s,,Defeat,na,"Aphelios,Kha'Zix,Orianna,Shen,Thresh","Darius,Lillia,Alistar,Ashe,Cassiopeia",2020-10-15 04:53:26
28m 59s,,Victory,na,"Urgot,Gragas,Pyke,Jhin,Thresh","Ornn,Nidalee,Nocturne,Ezreal,Janna",2020-10-14 12:18:37
29m 57s,,Victory,na,"Irelia,Skarner,Cassiopeia,Ashe,Yuumi","Shen,Hecarim,Sylas,Ezreal,Zilean",2020-10-15 13:02:55
29m 57s,,Defeat,na,"Urgot,Shyvana,Sett,Senna,Karma","Volibear,Nidalee,Yone,Ashe,Rakan",2020-10-15 11:14:02
23m 42s,,Defeat,na,"Vladimir,Lee Sin,Akali,Caitlyn,Leona","Maokai,Zac,Ziggs,Senna,Rakan",2020-10-13 13:58:32
32m 3s,,Defeat,na,"Jax,Qiyana,Sylas,Syndra,Alistar","Veigar,Nidalee,Sett,Ashe,Leona",2020-10-16 09:29:56
32m 3s,,Defeat,na,"Malphite,Shaco,Ekko,Senna,Tahm Kench","Mordekaiser,Lillia,Lucian,Aphelios,Leona",2020-10-16 08:51:11
16m 13s,,Defeat,na,"Ornn,Kindred,Sylas,Wukong,Nautilus","Camille,Nidalee,Syndra,Ashe,Pantheon",2020-10-14 05:05:32
16m 13s,,Defeat,na,"Camille,Graves,Teemo,Samira,Leona","Singed,Kha'Zix,Orianna,Senna,Blitzcrank",2020-10-13 15:14:22
27m 29s,,Defeat,na,"Maokai,Ekko,Orianna,Yasuo,Senna","Mordekaiser,Kha'Zix,Zoe,Jhin,Thresh",2020-10-14 07:18:06
29m 15s,,Victory,na,"Camille,Kayn,Syndra,Kai'Sa,Leona","Ornn,Lillia,Lucian,Miss Fortune,Poppy",2020-10-16 15:00:13
29m 57s,,Victory,na,"Irelia,Hecarim,Zoe,Twitch,Rakan","Jayce,Nidalee,Ziggs,Jhin,Leona",2020-10-14 11:11:22
23m 42s,,Defeat,na,"Darius,Kindred,Lulu,Ezreal,Alistar","Kennen,Shaco,Ekko,Ashe,Pantheon",2020-10-13 13:00:22
23m 42s,,Defeat,na,"Darius,Graves,Orianna,Yasuo,Vel'Koz","Neeko,Kindred,Galio,Jhin,Sett",2020-10-13 12:12:06
32m 3s,,Defeat,na,"Zilean,Master Yi,Lux,Senna,Taric","Maokai,Nidalee,Zoe,Jhin,Nautilus",2020-10-16 08:15:58
16m 13s,,Defeat,na,"Jax,Ekko,Vladimir,Jhin,Rakan","Gragas,Graves,Sett,Caitlyn,Morgana",2020-10-13 14:38:53
16m 13s,,Defeat,na,"Malphite,Kindred,Akali,Ashe,Alistar","Jayce,Nidalee,Yone,Jhin,Sett",2020-10-13 13:56:02
27m 29s,,Defeat,na,"Gangplank,Graves,Ryze,Ezreal,Alistar","Shen,Nidalee,Akali,Senna,Nautilus",2020-10-14 06:30:12
27m 29s,,Defeat,na,"Yasuo,Karthus,Darius,Ashe,Morgana","Maokai,Lee Sin,Veigar,Sett,Leona",2020-10-13 09:05:08
29m 15s,,Defeat,na,"Fiora,Kindred,Akali,Caitlyn,Zilean","Lucian,Lillia,Irelia,Jhin,Karma",2020-10-16 14:21:29
29m 15s,,Defeat,na,"Shen,Hecarim,Lulu,Ezreal,Pantheon","Camille,Lillia,Draven,Miss Fortune,Bard",2020-10-16 12:19:26
34m 17s,,Defeat,euw,"Jax,Nidalee,Tristana,Aphelios,Nautilus","Sylas,Lee Sin,Veigar,Miss Fortune,Bard",2020-10-15 08:55:17
23m 42s,,Defeat,na,"Volibear,Graves,Sylas,Samira,Leona","Malphite,Lillia,Fizz,Caitlyn,Morgana",2020-10-13 10:45:02
23m 42s,,Defeat,na,"Malphite,Lee Sin,Twisted Fate,Ashe,Alistar","Sylas,Graves,Yasuo,Jhin,Braum",2020-10-13 09:39:58
32m 3s,,Defeat,na,"Gangplank,Hecarim,Karma,Senna,Nami","Vladimir,Graves,Sylas,Ashe,Lulu",2020-10-16 07:42:52
32m 3s,,Defeat,na,"Fiora,Lee Sin,Cassiopeia,Miss Fortune,Thresh","Malphite,Nidalee,Kled,Jhin,Nautilus",2020-10-16 06:28:44
27m 29s,,Defeat,na,"Jayce,Lee Sin,Sylas,Miss Fortune,Thresh","Shen,Kha'Zix,Cassiopeia,Jhin,Janna",2020-10-13 08:16:16
20m 23s,,Defeat,euw,"Kayle,Rek'Sai,Galio,Ezreal,Yuumi","Gangplank,Elise,Akali,Draven,Thresh",2020-10-15 05:21:02
29m 15s,,Victory,na,"Vladimir,Rek'Sai,Ezreal,Lucian,Pantheon","Renekton,Graves,Rumble,Jhin,Bard",2020-10-16 09:09:13
34m 17s,,Defeat,euw,"Mordekaiser,Graves,Irelia,Kai'Sa,Pyke","Sion,Lillia,Qiyana,Miss Fortune,Bard",2020-10-14 10:09:01
23m 42s,,Defeat,na,"Yasuo,Karthus,Darius,Ashe,Morgana","Maokai,Lee Sin,Veigar,Sett,Leona",2020-10-13 09:05:08
32m 3s,,Defeat,na,"Sylas,Graves,Akali,Vayne,Leona","Cho'Gath,Lillia,Lucian,Kai'Sa,Nautilus",2020-10-16 05:42:12
32m 3s,,Defeat,na,"Renekton,Graves,Galio,Jinx,Lulu","Akali,Nidalee,Lucian,Jhin,Pantheon",2020-10-13 12:17:42
20m 23s,,Defeat,euw,"Ornn,Graves,LeBlanc,Jhin,Alistar","Akali,Nidalee,Lucian,Aphelios,Leona",2020-10-15 04:52:58
20m 23s,,Defeat,euw,"Volibear,Elise,Zoe,Samira,Nautilus","Kayle,Rek'Sai,Irelia,Ashe,Rakan",2020-10-15 02:59:29
29m 15s,,Defeat,na,"Samira,Olaf,Sylas,Ezreal,Annie","Jayce,Lee Sin,Ziggs,Lucian,Maokai",2020-10-16 08:26:49
34m 17s,,Victory,euw,"Wukong,Master Yi,Lucian,Ezreal,Bard","Camille,Rek'Sai,Kassadin,Draven,Janna",2020-10-12 09:35:02
35m 52s,,Defeat,www,"Wukong,Taliyah,Zoe,Ashe,Thresh","Lulu,Lee Sin,Kassadin,Jhin,Pantheon",2020-10-11 03:53:29
20m 23s,,Defeat,euw,"Shen,Evelynn,Lucian,Twitch,Rakan","Ornn,Graves,Orianna,Ashe,Bard",2020-10-15 02:06:15
20m 23s,,Defeat,euw,"Irelia,Evelynn,Kayle,Karthus,Thresh","Jax,Graves,Syndra,Ashe,Rakan",2020-10-15 01:28:43
29m 15s,,Victory,na,"Ezreal,Lillia,Cassiopeia,Lucian,Leona","Sylas,Aphelios,Yone,Ekko,Braum",2020-10-16 07:29:00
29m 15s,,Victory,na,"Lucian,Sejuani,Sylas,Ziggs,Pantheon","Akali,Lee Sin,Syndra,Ezreal,Sett",2020-10-16 07:04:33
34m 17s,,Defeat,euw,"Wukong,Nidalee,Irelia,Kai'Sa,Nautilus","Poppy,Kha'Zix,Orianna,Twitch,Rakan",2020-10-09 06:00:03
34m 17s,,Victory,euw,"Shen,Zac,Irelia,Caitlyn,Bard","Sylas,Hecarim,Cassiopeia,Kai'Sa,Pantheon",2020-10-07 07:57:14
35m 52s,,Defeat,www,"Shen,Graves,Orianna,Jhin,Yuumi","Lucian,Lee Sin,Cassiopeia,Ezreal,Bard",2020-10-11 02:54:03
20m 23s,,Defeat,euw,"Hecarim,Nidalee,Qiyana,Ezreal,Lux","Jax,Rek'Sai,LeBlanc,Ashe,Karma",2020-10-14 22:54:28
20m 23s,,Defeat,euw,"Gangplank,Nidalee,Akali,Sivir,Pantheon","Ornn,Evelynn,Lucian,Ashe,Karma",2020-10-14 22:07:32
29m 15s,,Victory,na,"Akali,Graves,Zed,Cassiopeia,Thresh","Teemo,Lee Sin,Vladimir,Miss Fortune,Galio",2020-10-16 06:37:18
29m 15s,,Victory,na,"Camille,Nidalee,Sylas,Ashe,Pantheon","Riven,Graves,Orianna,Senna,Thresh",2020-10-16 05:58:42
34m 17s,,Defeat,euw,"Malphite,Lee Sin,Akali,Twitch,Rakan","Jayce,Graves,Ahri,Caitlyn,Bard",2020-10-06 08:34:50
34m 17s,,Victory,euw,"Camille,Nidalee,Rumble,Samira,Bard","Volibear,Graves,Syndra,Caitlyn,Janna",2020-10-02 22:25:51
23m 45s,,Victory,euw,"Karma,Nidalee,Talon,Kai'Sa,Zyra","Lulu,Master Yi,Katarina,Samira,Taric",2020-10-14 04:19:36
34m 36s,,Defeat,euw,"Wukong,Lillia,Corki,Ezreal,Pantheon","Malphite,Hecarim,Lucian,Karthus,Tahm Kench",2020-10-15 21:52:07
30m 5s,,Defeat,www,"Jayce,Evelynn,Yone,Ezreal,Bard","Fiora,Lillia,Camille,Kai'Sa,Nautilus",2020-10-16 01:46:09
35m 52s,,Defeat,www,"Fiora,Graves,Viktor,Caitlyn,Nautilus","Camille,Elise,Sylas,Jhin,Karma",2020-10-11 02:31:02
20m 23s,,Defeat,euw,"Renekton,Hecarim,Katarina,Caitlyn,Rakan","Jax,Nidalee,Yone,Senna,Sett",2020-10-14 05:28:00
20m 23s,,Defeat,euw,"Urgot,Lee Sin,Zoe,Senna,Pantheon","Gangplank,Hecarim,LeBlanc,Caitlyn,Rakan",2020-10-14 00:31:12
29m 15s,,Victory,na,"Camille,Kindred,LeBlanc,Ashe,Leona","Ornn,Rengar,Orianna,Senna,Pantheon",2020-10-16 05:15:57
34m 17s,,Defeat,euw,"Camille,Hecarim,Orianna,Twitch,Rakan","Renekton,Evelynn,Vladimir,Ashe,Bard",2020-10-02 03:33:22
23m 45s,,Defeat,euw,"Irelia,Evelynn,Akali,Aphelios,Leona","Volibear,Sylas,Lucian,Senna,Tahm Kench",2020-10-14 03:34:37
23m 45s,,Defeat,euw,"Volibear,Ekko,LeBlanc,Caitlyn,Thresh","Gangplank,Kayn,Akali,Graves,Senna",2020-10-14 01:17:18
